指標,値
アクティブ日数,36日（72.00%）
登録からの日数,50日
総送信メッセージ数,1763件
週あたり平均送信数,246.82件
選択式：自作の比率,1763：0
選択式（PresetMessage）,1763件
自作メッセージ,0件
総マッチ回数,143回
マッチ率,8.11%
送信先ユニーク数,52人
