指標,値
アクティブ日数,29日（96.67%）
1日あたりのセッション回数平均,12.90回
送信したマッチ用メッセージ総数,1295件
送信したマッチ用メッセージ総種数,75種類（自作0種類）
自作メッセージでマッチした回数,0回
送信したマッチ用メッセージの自作割合,0.0%
平均送信先件数,17.3人
送信先ユニーク数,52人
週あたり平均送信数,302.17件
総マッチ回数,66回
マッチ率,5.10%

=== 詳細内訳 ===
期間内の日数,30日
期間内の週数,4.29週
総セッション数,374回
選択式メッセージ数,1295件
自作メッセージ数,0件
選択式メッセージ種類数,75種類
