指標,値
アクティブ日数,2日（3.77%）
登録からの日数,53日
総送信メッセージ数,3件
週あたり平均送信数,0.40件
選択式：自作の比率,3：0
選択式（PresetMessage）,3件
自作メッセージ,0件
総マッチ回数,2回
マッチ率,66.67%
送信先ユニーク数,3人
